Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
Meicai,7000000000.0,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,2014,1000000000.0,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,7000000000.0,2019-05-13,Consumer & retail,Redwood City,United States,North America,2011,2000000000.0,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,7000000000.0,2021-04-06,Fintech,Bengaluru,India,Asia,2018,92200000000.0,"Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,7000000000.0,2020-09-23,Mobile & telecommunications,Hoboken,United States,North America,2016,86300000000.0,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,7000000000.0,2014-10-27,Auto & transportation,Bengaluru,India,Asia,2010,4000000000.0,"Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,7000000000.0,2020-08-04,Internet software & services,San Francisco,United States,North America,2017,44700000000.0,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,7000000000.0,2019-05-06,Fintech,San Francisco,United States,North America,2012,1000000000.0,"Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,7000000000.0,2018-12-09,Fintech,Seoul,South Korea,Asia,2013,84400000000.0,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,7000000000.0,2018-01-17,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2000000000.0,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,7000000000.0,2019-08-05,Artificial intelligence,San Francisco,United States,North America,2018,60300000000.0,"Accel, Y Combinator, Index Ventures"
Gong,7000000000.0,2020-08-12,Artificial intelligence,Palo Alto,United States,North America,2015,58300000000.0,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,7000000000.0,2018-11-08,Travel,Palo Alto,United States,North America,2015,91200000000.0,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,7000000000.0,2021-07-08,Cybersecurity,Toronto,Canada,North America,2005,92000000000.0,"Slack Fund, Accel, Skip Capital"
Automation Anywhere,7000000000.0,2018-07-02,Artificial intelligence,San Jose,United States,North America,2003,84900000000.0,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,7000000000.0,2021-11-19,Fintech,New York,United States,North America,2015,42400000000.0,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,7000000000.0,2021-11-17,Fintech,New York,United States,North America,2014,66000000000.0,"Third Point, Electric Capital, Coinbase Ventures"
Ro,7000000000.0,2020-07-27,Health,New York,United States,North America,2017,1000000000.0,"Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,6000000000.0,2021-05-20,Other,Los Angeles,United States,North America,2020,64500000000.0,Barter Ventures
Easyhome,6000000000.0,2018-02-12,Consumer & retail,Beijing,China,Asia,1999,2000000000.0,"Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,6000000000.0,2015-09-22,Health,Hangzhou,China,Asia,2010,1000000000.0,"Tencent, Morningside Group"
SVOLT,6000000000.0,2020-06-08,Auto & transportation,Changzhou,China,Asia,2018,3000000000.0,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,6000000000.0,2019-03-25,Fintech,Melbourne,Australia,Oceania,2015,80200000000.0,"DST Global, Sequoia Capital China, Tencent Holdings"
Deel,6000000000.0,2021-04-21,Fintech,San Francisco,United States,North America,2018,62900000000.0,"Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,6000000000.0,2021-01-06,Fintech,Amsterdam,Netherlands,Europe,2011,44800000000.0,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,6000000000.0,2020-09-08,Fintech,Amsterdam,Netherlands,Europe,2004,92800000000.0,Technology Crossover Ventures
Doctolib,6000000000.0,2019-03-19,Health,Paris,France,Europe,2013,81500000000.0,"BPI France, Kerala Ventures, Accel"
FiveTran,6000000000.0,2020-06-30,Data management & analytics,Oakland,United States,North America,2012,72800000000.0,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,6000000000.0,2020-06-11,Internet software & services,San Francisco,United States,North America,2014,43300000000.0,"Nexus Venture Partners, CRV, Insight Partners"
Back Market,6000000000.0,2021-05-18,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1000000000.0,"Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,6000000000.0,2020-12-10,Health,Brooklyn,United States,North America,2017,89100000000.0,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,6000000000.0,2019-07-29,Artificial intelligence,Boston,United States,North America,2012,1000000000.0,"New Enterprise Associates, Accomplice, IA Ventures"
Personio,6000000000.0,2021-01-19,Internet software & services,Munich,Germany,Europe,2015,52400000000.0,"Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,6000000000.0,2022-02-17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,80300000000.0,"Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,6000000000.0,2011-04-02,Internet software & services,Brooklyn,United States,North America,1994,1000000000.0,"Technology Crossover Ventures, A&E Television Networks"
Workato,6000000000.0,2021-01-12,Internet software & services,Mountain View,United States,North America,2013,41500000000.0,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,6000000000.0,2018-02-12,Fintech,San Francisco,United States,North America,2016,58700000000.0,"Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,6000000000.0,2016-04-07,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1000000000.0,"Tencent, Baidu, Huasheng Capital"
Hinge Health,6000000000.0,2021-01-06,Health,San Francisco,United States,North America,2015,82600000000.0,"Atomico, Insight Partners, Coatue Management"
Lyra Health,6000000000.0,2020-08-25,Health,Burlingame,United States,North America,2015,91000000000.0,"Greylock Partners, Venrock, Providence Ventures"
Benchling,6000000000.0,2021-04-14,Internet software & services,San Francisco,United States,North America,2012,41200000000.0,"Thrive Capital, Benchmark, MenloVentures"
Better.com,6000000000.0,2020-11-10,Fintech,New York,United States,North America,2018,40500000000.0,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,6000000000.0,2021-07-27,Fintech,New York,United States,North America,2013,72900000000.0,"BlackRock, Blackstone, UBS"
Wiz,6000000000.0,2021-03-17,Cybersecurity,Tel Aviv,Israel,Asia,2020,60000000000.0,"Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,5000000000.0,2020-12-22,Internet software & services,Bengaluru,India,Asia,2007,86900000000.0,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,5000000000.0,2020-09-29,Other,London,United Kingdom,Europe,1994,18700000000.0,"General Atlantic, 3i Group, Huagai Capital"
Meesho,5000000000.0,2021-04-05,Internet software & services,Bengaluru,India,Asia,2015,1000000000.0,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,5000000000.0,2014-07-23,Hardware,Zhuhai,China,Asia,2003,94300000000.0,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,5000000000.0,2018-10-08,Artificial intelligence,Guangzhou,China,Asia,2015,51400000000.0,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,5000000000.0,2015-08-18,Hardware,Shenzhen,China,Asia,2012,49200000000.0,"Warmsun Holding, IDG Capital Partners"
Monzo,5000000000.0,2018-10-31,Fintech,London,United Kingdom,Europe,2015,1000000000.0,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,5000000000.0,2021-03-16,Cybersecurity,New York,United States,North America,2012,64400000000.0,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,5000000000.0,2016-08-04,Edtech,Beijing,China,Asia,2013,1000000000.0,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,5000000000.0,2019-11-27,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,56200000000.0,"Accel, Insight Partners, Burda Principal Investments"
Lendable,5000000000.0,2021-03-31,Fintech,London,United Kingdom,Europe,2014,28600000000.0,"Ontario Teachers' Pension Plan, Goldman Sachs"
UBTECH Robotics,5000000000.0,2016-07-25,Hardware,Shenzhen,China,Asia,2012,94300000000.0,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,5000000000.0,2019-09-11,Artificial intelligence,Irvine,United States,North America,2017,69100000000.0,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,5000000000.0,2019-09-19,Internet software & services,San Francisco,United States,North America,2014,55900000000.0,"Y Combinator, Accel, T. Rowe Price"
Color,5000000000.0,2021-01-04,Health,Burlingame,United States,North America,2013,49700000000.0,"General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,5000000000.0,2019-12-04,Internet software & services,New York,United States,North America,2013,64700000000.0,"Alven Capital, FirstMark Capital, capitalG"
BetterUp,5000000000.0,2021-02-25,Internet software & services,San Francisco,United States,North America,2013,56700000000.0,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,5000000000.0,2021-07-06,Fintech,Copenhagen,Denmark,Europe,2015,42800000000.0,"Creandum, Founders, Kinnevik"
Trade Republic,5000000000.0,2021-05-20,Fintech,Berlin,Germany,Europe,2015,99600000000.0,"Founders Fund, Accel, Creandum"
Chipone,5000000000.0,2021-12-16,Hardware,Beijing,China,Asia,2008,1000000000.0,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,5000000000.0,2019-01-29,Data management & analytics,Brussels,Belgium,Europe,2008,59600000000.0,"Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,5000000000.0,2018-08-31,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2000000000.0,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
6Sense,5000000000.0,2021-03-30,Artificial intelligence,San Francisco,United States,North America,2013,42600000000.0,"Venrock, Battery Ventures, Insight Partners"
Cerebral,5000000000.0,2021-06-10,Health,San Francisco,United States,North America,2020,46200000000.0,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Creditas,5000000000.0,2020-12-18,Fintech,Sao Paulo,Brazil,South America,2012,82400000000.0,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
OneTrust,5000000000.0,2019-07-11,Internet software & services,Atlanta,United States,North America,2016,92600000000.0,Insight Partners
QuintoAndar,5000000000.0,2019-09-09,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,75500000000.0,"Kaszek Ventures, General Atlantic, SoftBank Group"
C6 Bank,5000000000.0,2020-12-02,Fintech,Sao Paulo,Brazil,South America,2018,2000000000.0,Credit Suisse
Cockroach Labs,5000000000.0,2021-01-12,Data management & analytics,New York,United States,North America,2015,63300000000.0,"Google Ventures, Benchmark, FirstMark Capital"
Hopper,5000000000.0,2021-03-24,Travel,Montreal,Canada,North America,2007,59900000000.0,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
Icertis,5000000000.0,2019-07-17,Artificial intelligence,Bellevue,United States,North America,2009,37100000000.0,"Eight Roads Ventures, Greycroft, Ignition Partners"
Moon Active,5000000000.0,2020-01-26,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,42500000000.0,"Insight Partners, Andalusian Capital Partners"
OfBusiness,5000000000.0,2021-07-31,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,73400000000.0,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
Ola Electric Mobility,5000000000.0,2019-07-02,Auto & transportation,Bengaluru,India,Asia,2019,76100000000.0,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Pine Labs,5000000000.0,2020-01-24,Fintech,Noida,India,Asia,1998,90300000000.0,"Sequoia Capital India, Temasek, PayPal Ventures"
Qonto,5000000000.0,2022-01-11,Fintech,Paris,France,Europe,2016,70400000000.0,"Alven Capital, Valar Ventures, Tencent Holdings"
SambaNova Systems,5000000000.0,2021-04-13,Data management & analytics,Palo Alto,United States,North America,2017,1000000000.0,"Walden International, Google Ventures, Intel Capital"
United Imaging Healthcare,5000000000.0,2017-09-15,Health,Shanghai,China,Asia,2011,50300000000.0,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
WM Motor,5000000000.0,2019-03-08,Auto & transportation,Shanghai,China,Asia,2015,4000000000.0,"Baidu Capital, Linear Venture, Tencent"
ZEPZ,5000000000.0,2021-08-23,Fintech,London,United Kingdom,Europe,2010,65500000000.0,"Accel, Technology Crossover Ventures, LeapFrog Investments"
Abogen,4000000000.0,2021-11-29,Health,Suzhou,China,Asia,2019,1000000000.0,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Greensill,4000000000.0,2018-07-16,Fintech,London,United Kingdom,Europe,2011,2000000000.0,"SoftBank Group, General Atlantic"
HyalRoute,4000000000.0,2020-05-26,Mobile & telecommunications,,Singapore,Asia,2015,26300000000.0,Kuang-Chi
Radiology Partners,4000000000.0,2018-02-26,Health,El Segundo,United States,North America,2012,1000000000.0,"New Enterprise Associates, Starr Investment Holdings"
Yello Mobile,4000000000.0,2014-11-11,Mobile & telecommunications,Seoul,South Korea,Asia,2012,21600000000.0,Formation 8
Turing,4000000000.0,2021-12-20,Internet software & services,Palo Alto,United States,North America,2018,12800000000.0,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Lenskart,4000000000.0,2019-12-20,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,77600000000.0,"Chiratae Ventures, PremjiInvest, Softbank"
Kraken,4000000000.0,2019-06-25,Fintech,San Francisco,United States,North America,2011,11900000000.0,"Bnk To The Future, Trammell Ventures, SBI Investment"
Horizon Robotics,4000000000.0,2019-02-27,Artificial intelligence,Beijing,China,Asia,2015,2000000000.0,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
MoonPay,4000000000.0,2021-11-22,Fintech,Miami,United States,North America,2019,55500000000.0,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Celsius Network,4000000000.0,2021-10-12,Fintech,Hoboken,United States,North America,2017,86400000000.0,"WestCap Group, Caisse de depot et placement du Quebec"
ChargeBee Technologies,4000000000.0,2021-04-20,Fintech,Walnut,United States,North America,2011,46800000000.0,"Insight Partners, Tiger Global Management, Accel"
Coalition,4000000000.0,2021-03-17,Cybersecurity,San Francisco,United States,North America,2017,50500000000.0,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Commure,4000000000.0,2021-09-16,Internet software & services,San Francisco,United States,North America,2017,54200000000.0,"General Catalyst, HCA Healthcare"
Flock Safety,4000000000.0,2021-07-13,Hardware,Atlanta,United States,North America,2017,38100000000.0,"Matrix Partners, Initialized Capital, Tiger Global Management"
